timestamp,direction,force,z,displacement,testno
1724836843.952068,DOWN,-0.041,inf,inf,3
1724836844.0479739,DOWN,-0.047,inf,inf,3
1724836844.1599889,DOWN,-0.053,inf,inf,3
1724836844.2561312,DOWN,-0.058,inf,inf,3
1724836844.3675709,DOWN,-0.063,inf,inf,3
1724836844.447948,DOWN,-0.067,inf,inf,3
1724836844.559971,DOWN,-0.072,inf,inf,3
1724836844.662057,DOWN,-0.075,inf,inf,3
1724836844.7519622,DOWN,-0.079,inf,inf,3
1724836844.854329,DOWN,-0.083,inf,inf,3
1724836844.9598331,DOWN,-0.086,inf,inf,3
1724836845.0560691,DOWN,-0.089,inf,inf,3
1724836845.1581628,DOWN,-0.092,inf,inf,3
1724836845.248043,DOWN,-0.095,inf,inf,3
1724836845.3595562,DOWN,-0.097,inf,inf,3
1724836845.456056,DOWN,-0.099,inf,inf,3
1724836845.558353,DOWN,-0.101,inf,inf,3
1724836845.667027,DOWN,-0.102,inf,inf,3
1724836845.76559,DOWN,-0.098,inf,inf,3
1724836845.856061,DOWN,-0.102,inf,inf,3
1724836845.9723022,DOWN,-0.105,inf,inf,3
1724836846.0571892,DOWN,-0.107,inf,inf,3
1724836846.159977,DOWN,-0.108,inf,inf,3
1724836846.256114,DOWN,-0.109,inf,inf,3
1724836846.357285,DOWN,-0.111,inf,inf,3
1724836846.460581,DOWN,-0.112,inf,inf,3
1724836846.5662668,DOWN,-0.112,inf,inf,3
1724836846.671628,DOWN,-0.113,inf,inf,3
1724836846.752079,DOWN,-0.114,inf,inf,3
1724836846.848045,DOWN,-0.114,inf,inf,3
1724836846.959999,DOWN,-0.115,inf,inf,3
1724836847.0748842,DOWN,-0.116,inf,inf,3
1724836847.152071,DOWN,-0.116,inf,inf,3
1724836847.248018,DOWN,-0.117,inf,inf,3
1724836847.360072,DOWN,-0.118,inf,inf,3
1724836847.456127,DOWN,-0.118,inf,inf,3
1724836847.552011,DOWN,-0.119,inf,inf,3
1724836847.667114,DOWN,-0.119,inf,inf,3
1724836847.7600691,DOWN,-0.12,inf,inf,3
1724836847.8526971,DOWN,-0.121,inf,inf,3
1724836847.952091,DOWN,-0.121,inf,inf,3
1724836848.054317,DOWN,-0.122,inf,inf,3
1724836848.160131,DOWN,-0.122,inf,inf,3
1724836848.2561688,DOWN,-0.123,inf,inf,3
1724836848.352012,DOWN,-0.123,inf,inf,3
1724836848.4480798,DOWN,-0.122,inf,inf,3
1724836848.560221,DOWN,-0.122,inf,inf,3
1724836848.6652899,DOWN,-0.123,inf,inf,3
1724836848.752193,DOWN,-0.122,inf,inf,3
1724836848.853188,DOWN,-0.123,inf,inf,3
1724836848.949124,DOWN,-0.123,inf,inf,3
1724836849.061049,DOWN,-0.124,inf,inf,3
1724836849.169651,DOWN,-0.124,inf,inf,3
1724836849.2594078,DOWN,-0.125,inf,inf,3
1724836849.345441,DOWN,-0.123,inf,inf,3
1724836849.461032,DOWN,-0.12,inf,inf,3
1724836849.5633159,DOWN,-0.118,inf,inf,3
1724836849.653147,DOWN,-0.115,inf,inf,3
1724836849.7584782,DOWN,-0.113,inf,inf,3
1724836849.861248,DOWN,-0.11,inf,inf,3
1724836849.9600792,DOWN,-0.108,inf,inf,3
1724836850.053041,DOWN,-0.107,inf,inf,3
1724836850.1553972,DOWN,-0.106,inf,inf,3
1724836850.261097,DOWN,-0.105,inf,inf,3
1724836850.356312,DOWN,-0.104,inf,inf,3
1724836850.453124,DOWN,-0.103,inf,inf,3
1724836850.548565,DOWN,-0.102,inf,inf,3
1724836850.6610692,DOWN,-0.1,inf,inf,3
1724836850.7686899,DOWN,-0.098,inf,inf,3
1724836850.8531861,DOWN,-0.096,inf,inf,3
1724836850.949116,DOWN,-0.095,inf,inf,3
1724836851.0610602,DOWN,-0.094,inf,inf,3
1724836851.1572008,DOWN,-0.093,inf,inf,3
1724836851.2587159,DOWN,-0.091,inf,inf,3
1724836851.356045,DOWN,-0.09,inf,inf,3
1724836851.464619,DOWN,-0.089,inf,inf,3
1724836851.548091,DOWN,-0.087,inf,inf,3
1724836851.65958,DOWN,-0.086,inf,inf,3
1724836851.7625,DOWN,0.027,inf,inf,3
1724836859.339274,UP,0.008,0,0,3
1724836859.4602308,UP,0.013,inf,inf,3
1724836859.556294,UP,0.014,inf,inf,3
1724836859.652271,UP,0.018,inf,inf,3
1724836859.760771,UP,0.025,inf,inf,3
1724836859.866657,UP,0.031,inf,inf,3
1724836859.952937,UP,0.036,inf,inf,3
1724836860.0524008,UP,0.04,inf,inf,3
1724836860.14835,UP,0.044,inf,inf,3
1724836860.260278,UP,0.047,inf,inf,3
1724836860.356268,UP,0.05,inf,inf,3
1724836860.452255,UP,0.053,inf,inf,3
1724836860.548368,UP,0.057,inf,inf,3
1724836860.660227,UP,0.062,inf,inf,3
1724836860.7563431,UP,0.067,inf,inf,3
1724836860.8523278,UP,0.071,inf,inf,3
1724836860.9546082,UP,0.076,inf,inf,3
1724836861.0560808,UP,0.081,inf,inf,3
1724836861.15868,UP,0.085,inf,inf,3
1724836861.2523751,UP,0.089,inf,inf,3
1724836861.347496,UP,0.092,inf,inf,3
1724836861.4603891,UP,0.095,inf,inf,3
1724836861.5562649,UP,0.098,inf,inf,3
1724836861.651693,UP,0.1,inf,inf,3
1724836861.744847,UP,0.102,inf,inf,3
1724836861.866636,UP,0.104,inf,inf,3
1724836861.95632,UP,0.105,inf,inf,3
1724836862.061665,UP,0.107,inf,inf,3
1724836862.144025,UP,0.109,inf,inf,3
1724836862.266581,UP,0.11,inf,inf,3
1724836862.350268,UP,0.112,inf,inf,3
1724836862.442271,UP,0.112,inf,inf,3
1724836862.558385,UP,0.114,inf,inf,3
1724836862.654372,UP,0.115,inf,inf,3
1724836862.756428,UP,0.116,inf,inf,3
1724836862.846426,UP,0.117,inf,inf,3
1724836862.96006,UP,0.118,inf,inf,3
1724836863.0606499,UP,0.119,inf,inf,3
1724836863.1458712,UP,0.12,inf,inf,3
1724836863.246309,UP,0.121,inf,inf,3
1724836863.358329,UP,0.122,inf,inf,3
1724836863.451,UP,0.123,inf,inf,3
1724836863.550358,UP,0.123,inf,inf,3
1724836863.6520529,UP,0.124,inf,inf,3
1724836863.758313,UP,0.124,inf,inf,3
1724836863.854371,UP,0.123,inf,inf,3
1724836863.950392,UP,0.124,inf,inf,3
1724836864.057836,UP,0.124,inf,inf,3
1724836864.157873,UP,0.124,inf,inf,3
1724836864.2543428,UP,0.124,inf,inf,3
1724836864.350243,UP,0.123,inf,inf,3
1724836864.446163,UP,0.122,inf,inf,3
1724836864.558391,UP,0.121,inf,inf,3
1724836864.66067,UP,0.12,inf,inf,3
1724836864.756652,UP,0.118,inf,inf,3
1724836864.8526762,UP,0.116,inf,inf,3
1724836864.9584079,UP,0.113,inf,inf,3
1724836865.067016,UP,0.11,inf,inf,3
1724836865.147084,UP,0.106,inf,inf,3
1724836865.258921,UP,0.102,inf,inf,3
1724836865.358368,UP,0.098,inf,inf,3
1724836865.454318,UP,0.095,inf,inf,3
1724836865.55729,UP,0.093,inf,inf,3
1724836865.656375,UP,0.09,inf,inf,3
1724836865.755344,UP,0.087,inf,inf,3
1724836865.854451,UP,0.085,inf,inf,3
1724836865.960002,UP,0.084,inf,inf,3
1724836866.0594409,UP,0.083,inf,inf,3
1724836866.1554492,UP,0.082,inf,inf,3
1724836866.257591,UP,0.082,inf,inf,3
1724836866.348469,UP,0.081,inf,inf,3
1724836866.459508,UP,0.082,inf,inf,3
1724836866.561746,UP,0.082,inf,inf,3
1724836866.651434,UP,0.083,inf,inf,3
1724836866.747309,UP,0.084,inf,inf,3
1724836866.8593578,UP,0.085,inf,inf,3
